,file,is_background,date_time,location,speed_kmh,sample_pos,daytime,weather,vehicle,source_direction,microphone,channel
0,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10077440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10077440,None,None,None,None,ME,CH12
1,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10077440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10077440,None,None,None,None,SE,CH34
2,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10173440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10173440,None,None,None,None,ME,CH12
3,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10173440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10173440,None,None,None,None,SE,CH34
4,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10269440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10269440,None,None,None,None,ME,CH12
5,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10269440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10269440,None,None,None,None,SE,CH34
6,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10365440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10365440,None,None,None,None,ME,CH12
7,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10365440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10365440,None,None,None,None,SE,CH34
8,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10461440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10461440,None,None,None,None,ME,CH12
9,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10461440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10461440,None,None,None,None,SE,CH34
10,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10557440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10557440,None,None,None,None,ME,CH12
