Unnamed: 0,file,is_background,date_time,location,speed_kmh,sample_pos,daytime,weather,vehicle,source_direction,microphone,channel,decibel,Dezibel_ber
0,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10077440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10077440,,,,,ME,CH12,0.005590655538367172,42.50684356689453
1,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10077440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10077440,,,,,SE,CH34,0.003773720842122852,38.21933364868164
2,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10173440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10173440,,,,,ME,CH12,0.004751241240487154,41.02157211303711
3,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10173440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10173440,,,,,SE,CH34,0.003385121493794714,37.1088981628418
4,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10269440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10269440,,,,,ME,CH12,0.00492875365374472,41.39238357543945
5,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10269440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10269440,,,,,SE,CH34,0.003360697007626911,37.35077667236328
6,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10365440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10365440,,,,,ME,CH12,0.005869057411466374,42.63613510131836
7,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10365440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10365440,,,,,SE,CH34,0.003392304131732391,37.46561813354492
8,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10461440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10461440,,,,,ME,CH12,0.006443498242768181,44.20722961425781
9,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10461440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10461440,,,,,SE,CH34,0.003826536284666343,38.38717651367188
10,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10557440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10557440,,,,,ME,CH12,0.005828142746456973,43.31483840942383
11,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10557440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10557440,,,,,SE,CH34,0.003660092568363566,38.03018951416016
12,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10653440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10653440,,,,,ME,CH12,0.006614390259963665,44.37897491455078
13,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10653440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10653440,,,,,SE,CH34,0.003684229158566098,38.3530158996582
14,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10749440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10749440,,,,,ME,CH12,0.007238677801834366,45.35036468505859
15,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10749440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10749440,,,,,SE,CH34,0.004583510762653751,40.19635009765625
16,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10845440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10845440,,,,,ME,CH12,0.007158122631442693,44.97790145874023
17,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10845440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10845440,,,,,SE,CH34,0.004639422362250799,39.73043060302734
18,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1116695_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1116695,M,D,C,R,ME,CH12,6.791186281619211,53.93605804443359
19,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1116695_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1116695,M,D,C,R,SE,CH34,14.72146609327144,56.59752655029297
20,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1137602_M_D_CL_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1137602,M,D,C,L,ME,CH12,4.160025706910153,52.22771072387695
21,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1137602_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1137602,M,D,C,L,SE,CH34,10.02306659224418,52.6302604675293
22,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11398656_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,11398656,,,,,ME,CH12,0.0064958954645962,44.32379531860352
23,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11398656_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,11398656,,,,,SE,CH34,0.004269450267923969,38.97663879394531
24,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1141442_M_D_CR_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1141442,M,D,C,R,ME,CH12,7.946938001180155,56.47024536132812
25,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1141442_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1141442,M,D,C,R,SE,CH34,13.08607633743765,55.37730407714844
26,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11494656_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,11494656,,,,,ME,CH12,0.00813621317138715,45.79798889160156
27,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11494656_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,11494656,,,,,SE,CH34,0.004750444281582404,40.21697998046875
28,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11590656_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,11590656,,,,,ME,CH12,0.006259519818894676,43.50281143188477
29,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11590656_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,11590656,,,,,SE,CH34,0.005036894619925192,40.62786102294922
30,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1172589_M_D_CL_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1172589,M,D,C,L,ME,CH12,2.744267096304118,51.12488555908203
31,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1172589_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1172589,M,D,C,L,SE,CH34,8.868190265154754,52.12008666992188
32,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12135936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12135936,,,,,ME,CH12,0.00914483110640181,47.55448913574219
33,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12135936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12135936,,,,,SE,CH34,0.006477047887065283,44.03470230102539
34,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12231936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12231936,,,,,ME,CH12,0.009308712951597884,47.74319839477539
35,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12231936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12231936,,,,,SE,CH34,0.006578624332480703,44.68982315063477
36,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12327936_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12327936,,,,,ME,CH12,0.00923174826389631,47.8123664855957
37,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12327936_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12327936,,,,,SE,CH34,0.005959241207481552,43.62850952148438
38,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1238893_M_D_CL_ME_CH12,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1238893,M,D,C,L,ME,CH12,2.435875449518226,49.65985870361328
