file,is_background,date_time,location,speed_kmh,sample_pos,daytime,weather,vehicle,source_direction,microphone,channel,decibel
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10077440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10077440,,,,,ME,CH12,0.005590655538367172
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10077440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10077440,,,,,SE,CH34,0.003773720842122852
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10173440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10173440,,,,,ME,CH12,0.004751241240487154
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10173440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10173440,,,,,SE,CH34,0.003385121493794714
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10269440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10269440,,,,,ME,CH12,0.00492875365374472
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10269440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10269440,,,,,SE,CH34,0.003360697007626911
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10365440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10365440,,,,,ME,CH12,0.005869057411466374
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10365440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10365440,,,,,SE,CH34,0.003392304131732391
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10461440_ME_CH12-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10461440,,,,,ME,CH12,0.006443498242768181
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10461440_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10461440,,,,,SE,CH34,0.003826536284666343
